Date,True,MA_filtered,EMA_filtered,bilateral_filtered
2000-05-25,1391.5375366210938,411965.18298339844,1423.9227591417725,1432.8493813196699
2000-05-26,1380.1775207519531,412046.7604980469,1423.0565167974198,1432.9058055648834
2000-05-30,1400.2349853515625,412168.59048461914,1422.6046052836405,1432.9762925553057
2000-05-31,1423.2574768066406,412327.80294799805,1422.6175334326106,1433.064345296536
2000-06-01,1434.7050170898438,412483.21798706055,1422.8568895446351,1433.1623635772282
2000-06-02,1464.5275268554688,412662.7380065918,1423.682050679503,1433.2648131970684
2000-06-05,1471.7125244140625,412837.56799316406,1424.633149169296,1433.225751238971
2000-06-06,1462.8924865722656,412996.3204650879,1425.390759810939,1433.099048392462
2000-06-07,1464.7250061035156,413164.3979797363,1426.1696557771286,1432.9913284334314
2000-06-08,1466.292510986328,413341.3929748535,1426.964167761469,1432.908531532898
2000-06-09,1461.5625,413495.53549194336,1427.649283251341,1432.808429650232
2000-06-12,1452.9674987792969,413629.2929992676,1428.150634053875,1432.6789163290969
2000-06-13,1457.0599975585938,413764.6155090332,1428.7230966975328,1432.5780146840084
2000-06-14,1472.8274841308594,413903.3055114746,1429.5964509041335,1432.5104892827187
2000-06-15,1473.9825134277344,414032.5905456543,1430.4753828352939,1432.4092764344603
2000-06-16,1471.0950012207031,414153.89807128906,1431.2797317142129,1432.2920787050916
2000-06-19,1474.6100158691406,414274.7905883789,1432.1377571430232,1432.1879944966913
2000-06-20,1479.8624877929688,414414.17559814453,1433.0828013143093,1432.0888662514594
2000-06-21,1476.3174743652344,414567.4730834961,1433.9389334539317,1431.9435453312321
2000-06-22,1464.6175231933594,414712.5180969238,1434.5464302804548,1431.7417771845903
2000-06-23,1447.977508544922,414852.2306213379,1434.8123922262857,1431.5163971096615
2000-06-26,1449.4825134277344,415005.1731262207,1435.1028896758194,1431.3489391348726
2000-06-27,1454.9400329589844,415140.0506591797,1435.4957043942977,1431.189447660986
2000-06-28,1455.8875122070312,415248.4631958008,1435.8995025688073,1431.0112658903154
2000-06-29,1446.7449951171875,415338.2632141113,1436.114264797488,1430.801678397121
2000-06-30,1447.5950012207031,415427.3157043457,1436.3416061127991,1430.604618658214
